SiteID,Latitude,Longitude,Elevation,d18O,nyrs
AyouquiWeatherStation,39.219999999999999,101.68000000000001,1620.0,-4.3893079234100139,2.0
Baidi,29.116666666666699,90.433333333332996,4430.0,-16.426246717206805,3.0
Cona_Lake_West,32.056832999999997,91.420117000000005,4623.0,-16.00187267402022,3.0
Conroy_SCI_CDRS,-0.74306000000000005,-90.302000000000007,2.0,-1.1808800683005682,3.0
Diaz_Museum_MBZA,-34.18,22.140000000000001,10.0,-3.393651313853169,4.0
Ehl_196,40.783279999999998,-111.84583000000001,1574.9015999999999,-14.908775693735777,8.0
Ehl_83,40.667000000000002,-111.7991,1569.72,-14.930226015697361,13.0
FASB,40.766745,-111.84790700000001,1442.0,-13.4504959301425,4.0
Grimes_BE 1997-2010,47.979999999999997,-55.82,140.0,-9.3627905435730288,13.0
Grimes_HB 1997-2010,46.5,-65.269999999999996,47.0,-10.423777793811329,14.0
ID02,48.351799999999997,-116.83969999999999,726.0,-14.505554122478955,7.0
IISPACS_Barrow,71.299999999999997,-156.69999999999999,3.0,-15.032899206984212,4.0
JAMSTEC_24656,63.520000000000003,129.47999999999999,79.0,-16.010358601031438,2.0
JAMSTEC_24856,61.479999999999997,129.15000000000001,115.0,-16.613029608846304,2.0
JAMSTEC_24944,60.399999999999999,120.42,226.0,-16.282610140544037,2.0
JAMSTEC_29231,58.32,82.950000000000003,75.0,-14.291612526424947,6.0
JAMSTEC_29263,58.450000000000003,92.150000000000006,79.0,-15.52838485650229,3.0
JAMSTEC_29698,54.880000000000003,99.030000000000001,411.0,-14.294247719414889,5.0
JAMSTEC_30554,54.469999999999999,113.58,903.0,-15.029118085151476,6.0
JAMSTEC_31004,58.619999999999997,125.37,679.0,-18.436577768489336,5.0
JAMSTEC_44259,48.079999999999998,114.55,747.0,-9.7010658034653066,1.0
JAMSTEC_44292,47.920000000000002,106.87,1306.0,-9.3079783149112085,1.0
JAMSTEC_44373,43.579999999999998,104.42,1465.0,-8.12741914689712,1.0
JAMSTEC_48455,13.73,100.56999999999999,4.0,-5.3642051146630738,2.0
JAMSTEC_96195,-1.6299999999999999,103.65000000000001,25.0,-6.2368584327855201,3.0
JAMSTEC_97014,1.53,124.92,80.0,-6.2054592769581696,4.0
JAMSTEC_97180,-5.0700000000000003,119.55,14.0,-7.2782452018201553,4.0
JAMSTEC_97230,-8.75,115.17,1.0,-4.422395930958162,4.0
JAMSTEC_Kotot,-0.20000000000000001,100.31999999999999,865.0,-8.0872869860290031,4.0
JAMSTEC_Palau,7.0,134.27000000000001,2.0,-4.5124726018153982,4.0
Kilimanjaro_fer0,-3.0779749999999999,37.291787999999997,3880.0,-5.9075249459700725,2.0
Kilimanjaro_flm1,-3.1647569999999998,37.235411999999997,1920.0,-3.2397969452433535,2.0
Kilimanjaro_foc0,-3.1188069999999999,37.249567999999996,2498.0,-4.2565100852629776,2.0
Kilimanjaro_foc6,-3.141956,37.244014999999997,2120.0,-3.6194717851547606,2.0
Kilimanjaro_fpd0,-3.1608589999999999,37.367387000000001,2990.0,-5.4234383919208149,2.0
Kilimanjaro_fpo0,-3.1012240000000002,37.258474999999997,2850.0,-4.3820108839011889,2.0
Kilimanjaro_hom4,-3.3347549999999999,37.492168999999997,1260.0,-3.2459370493045734,2.0
Kilimanjaro_sav5,-3.3049200000000001,37.683197,950.0,-2.5771769168973577,2.0
LEV,47.598199999999999,-120.6639,362.0,-12.069081056655515,1.0
LQR3,18.277000000000001,-65.786000000000001,625.0,-2.9136864493081069,6.0
LQR4,18.27,-65.760000000000005,1011.0,-3.658170230614409,7.0
LQR5a,18.376000000000001,-65.733000000000004,2.0,-2.3794065758523479,3.0
LQR6,18.315819999999999,-65.74315,482.0,-2.706513198352547,7.0
