"","Site","Lat","Lon","Alt","MAT","MAP","PfPCQ","pCO2","Source","notes","mat.wc","map.wc","hqt.offset","hqp.frac","dqt.offset","dqp.frac"
"1","DL01",-32.8777777777778,-68.9225,1000,18,220,0.4,280,"Ringham et. al. (2016)",NA,14.6616667111715,259,7.07299947738647,0.370656370656371,-7.32033332188924,0.123552123552124
"2","D2",-33.1039166666667,-69.0092166666667,1090,16,189,0.4,280,"Peters et. al. (2013)",NA,14.4113334019979,271,7.08466688791911,0.335793357933579,-7.30200004577637,0.154981549815498
"3","RM333-11",-33.0907,-69.10035,1330,14,197,0.4,280,"Peters et. al. (2013)",NA,13.2369997898738,275,6.83899978796641,0.287272727272727,-6.96499995390574,0.181818181818182
"4","MODS 0703",-32.814,-69.301,1600,14,197,0.4,280,"Peters et. al. (2013)",NA,10.4533333579699,207,6.15866678953171,0.314009661835749,0.0293336113293972,0.202898550724638
"5","C",-32.82335,-69.2985833333333,1600,14,197,0.4,280,"Peters et. al. (2013)",NA,10.4533333579699,207,6.15866678953171,0.314009661835749,0.0293336113293972,0.202898550724638
"6","RM1695-11",-32.7301166666667,-69.3282833333333,1700,14,197,0.4,280,"Peters et. al. (2013)",NA,9.88833340009054,180,6.10499978065491,0.333333333333333,0.0756666660308838,0.194444444444444
"7","RM1947-11",-32.6406166666667,-69.4991,1950,12,132,0.4,280,"Peters et. al. (2013)",NA,9.36199998855591,165,5.88600015640259,0.303030303030303,0.225999991099039,0.187878787878788
"8","MODS 0705",-32.662,-69.513,2000,12,132,0.2,280,"Peters et. al. (2013)",NA,7.94333335757256,173,5.73933310310046,0.236994219653179,0.372666945060095,0.213872832369942
"9","MODS 0706",-32.769,-69.598,2200,11,188,0.2,280,"Peters et. al. (2013)",NA,5.75266666524112,215,5.600666490073,0.134883720930233,5.600666490073,0.134883720930233
"10","A",-32.8348333333333,-69.7285833333333,2350,10,253,0.2,280,"Peters et. al. (2013)",NA,2.19000000258287,287,5.445999994874,0.0731707317073171,5.445999994874,0.0731707317073171
"11","MODS 0707",-32.842,-69.744,2400,10,253,0.2,280,"Peters et. al. (2013)",NA,2.19000000258287,287,5.445999994874,0.0731707317073171,5.445999994874,0.0731707317073171
"12","MODS 0710",-32.845,-69.827,2600,9,253,0.2,280,"Peters et. al. (2013)",NA,2.65399997929732,311,5.52733340362708,0.0514469453376206,5.52733340362708,0.0514469453376206
"13","B",-32.8118166666667,-70.0644666666667,3220,6,320,0.2,280,"Peters et. al. (2013)",NA,-1.55099997483194,358,5.36699995957315,0.0474860335195531,5.36699995957315,0.0474860335195531
"14","MODS0708",-32.0111111111111,-70.062,3200,6,320,0.2,280,"Peters et. al. (2013)",NA,-4.61600002646446,321,4.38533334930738,0.0778816199376947,4.38533334930738,0.0778816199376947
"15","The Netherlands",51.36,5.66,30,NA,NA,NA,NA,"Salomons and Mook (1976)","Southern Netherlands, lat/lon approx",9.90433347225189,737,7.11833345890045,0.261872455902307,-0.636333346366882,0.230664857530529
"16","Alaska",67,-158,NA,NA,NA,NA,NA,"Cerling (1984)","sandstone cements, estimated MAT -7",-4.1029999256134,243,17.960333108902,0.465020576131687,-2.48500005404154,0.127572016460905
"17","Wyoming",42.27,-108.8,2500,NA,NA,NA,NA,"Cerling (1984)","pebble coatings in alluvium; lat/lon total guess, no locality info given",3.11966661612193,286,11.4949996868769,0.237762237762238,0.749666571617126,0.223776223776224
"18","Elq13-400",-29.9732,-70.9536,400,14.4,NA,NA,NA,"Burgener et al. (2016)",NA,14.2443334261576,80,3.65966653823853,0,3.65966653823853,0
"19","Elq13-600",-30.0451,-70.8191,600,NA,NA,NA,NA,"Burgener et al. (2016)",NA,14.1760001182556,85,3.83866675694783,0,3.83866675694783,0
"20","Elq13-850",-29.9876,-70.5694,850,NA,NA,NA,NA,"Burgener et al. (2016)",NA,13.0770000616709,57,3.9163331190745,0,3.9163331190745,0
"21","Elq13-1300",-29.8576,-70.3649,1300,NA,NA,NA,NA,"Burgener et al. (2016)",NA,10.1920000314713,62,4.01466691493988,0.0645161290322581,4.01466691493988,0.0645161290322581
"22","Elq13-1500",-29.9323,-70.294,1500,NA,NA,NA,NA,"Burgener et al. (2016)",NA,7.7663333217303,79,3.98033326864242,0.10126582278481,3.98033326864242,0.10126582278481
"23","Elq13-1700",-29.9828,-70.2333,1700,NA,NA,NA,NA,"Burgener et al. (2016)",NA,8.09833331902822,78,4.09766678015391,0.115384615384615,4.09766678015391,0.115384615384615
