,Site,Lat,Lon,Alt,MAT,MAP,PfPCQ,pCO2,Source,notes,d18O_OIPC_ann,d18O_Model_ann,d18O_OIPC_jan,d18O_OIPC_feb,d18O_OIPC_mar,d18O_OIPC_apr,d18O_OIPC_may,d18O_OIPC_jun,d18O_OIPC_jul,d18O_OIPC_aug,d18O_OIPC_sep,d18O_OIPC_oct,d18O_OIPC_nov,d18O_OIPC_dec,d18O_OIPC_son,d18O_OIPC_mam,d18O_OIPC_djf,d18O_OIPC_jja
1,DL01,-32.87777778,-68.9225,1000,18,220,0.4,280,Ringham et. al. (2016),NA,-6.2,-5.6,-3.5,-4.7,-5.3,-7.7,-8.8,-9.6,-11.6,-8.9,-8.4,-6.7,-6,-4.6,-7.266666667,-7.033333333,-10.03333333,-4.266666667
2,D2,-33.10391667,-69.00921667,1090,16,189,0.4,280,Peters et. al. (2013),NA,-6.6,-5.8,-3.9,-5,-5.6,-8,-9.1,-9.9,-11.7,-9.2,-8.7,-7,-6.4,-4.9,-7.566666667,-7.366666667,-10.26666667,-4.6
3,RM333-11,-33.0907,-69.10035,1330,14,197,0.4,280,Peters et. al. (2013),NA,-7.3,-6.4,-4.4,-5.6,-6,-8.5,-9.6,-10.4,-12,-9.5,-9.1,-7.5,-7,-5.4,-8.033333333,-7.866666667,-10.63333333,-5.133333333
4,MODS 0703,-32.814,-69.301,1600,14,197,0.4,280,Peters et. al. (2013),NA,-7.9,-7.9,-4.8,-6.1,-6.5,-9,-10.1,-10.9,-12.2,-9.8,-9.5,-8,-7.5,-5.9,-8.533333333,-7.133333333,-10.6,-5.6
5,C,-32.82335,-69.29858333,1600,14,197,0.4,280,Peters et. al. (2013),NA,-7.9,-7.9,-4.8,-6.1,-6.5,-9,-10.1,-10.9,-12.2,-9.8,-9.5,-8,-7.5,-5.9,-8.533333333,-8.333333333,-10.96666667,-5.6
6,RM1695-11,-32.73011667,-69.32828333,1700,14,197,0.4,280,Peters et. al. (2013),NA,-8.2,-8.3,-5,-6.4,-6.7,-9.2,-10.2,-11,-12.3,-9.9,-9.6,-8.1,-7.7,-6.1,-8.7,-8.466666667,-11.06666667,-5.833333333
7,RM1947-11,-32.64061667,-69.4991,1950,12,132,0.4,280,Peters et. al. (2013),NA,-8.9,-8.5,-5.5,-7,-7.2,-9.7,-10.7,-11.5,-12.6,-10.3,-10,-8.6,-8.3,-6.6,-9.2,-8.966666667,-11.46666667,-6.366666667
8,MODS 0705,-32.662,-69.513,2000,12,132,0.2,280,Peters et. al. (2013),NA,-9.1,-9.4,-5.8,-7.3,-7.4,-9.9,-11,-11.7,-12.7,-10.5,-10.3,-8.9,-8.6,-6.9,-9.433333333,-9.266666667,-11.63333333,-6.666666667
9,MODS 0706,-32.769,-69.598,2200,11,188,0.2,280,Peters et. al. (2013),NA,-9.7,-10.5,-6.3,-7.8,-7.8,-10.3,-11.4,-12.2,-13,-10.8,-10.6,-9.3,-9,-7.4,-9.833333333,-9.633333333,-12,-7.166666667
10,The Netherlands,51.36,5.66,30,NA,NA,NA,NA,Salomons and Mook (1976),"Southern Netherlands, lat/lon approx",-7.2,-8.3,-9.8,-10.1,-9.2,-7.6,-5.4,-4.2,-3.3,-3.2,-4.2,-6.5,-8.3,-9.4,-6.333333333,-7.4,-9.766666667,-3.566666667
11,Alaska,67,-158,NA,NA,NA,NA,NA,Cerling (1984),"sandstone cements, estimated MAT -7",-18.7,-16,-26.2,-22.3,-24.7,-21.2,-18.5,-14.6,-14.2,-13.7,-15.3,-20.1,-23.8,-25.5,-19.73333333,-21.46666667,-24.66666667,-14.16666667
12,Wyoming,42.27,-108.8,2500,NA,NA,NA,NA,Cerling (1984),"pebble coatings in alluvium; lat/lon total guess, no locality info given",-15.6,-11.9,-21.8,-22.6,-20.4,-16.6,-12.3,-11.3,-8.1,-6.7,-9.5,-15,-18.9,-22.9,-14.46666667,-16.43333333,-22.43333333,-8.7
13,Elq13-400,-29.9732,-70.9536,400,14.4,NA,NA,NA,Burgener et al. (2016),NA,,,,,,,,,,,,,,,,,,
14,Elq13-600,-30.0451,-70.8191,600,NA,NA,NA,NA,Burgener et al. (2016),NA,,,,,,,,,,,,,,,,,,
15,Elq13-850,-29.9876,-70.5694,850,NA,NA,NA,NA,Burgener et al. (2016),NA,,,,,,,,,,,,,,,,,,
16,Elq13-1300,-29.8576,-70.3649,1300,NA,NA,NA,NA,Burgener et al. (2016),NA,,,,,,,,,,,,,,,,,,
17,Elq13-1500,-29.9323,-70.294,1500,NA,NA,NA,NA,Burgener et al. (2016),NA,,,,,,,,,,,,,,,,,,
18,Elq13-1700,-29.9828,-70.2333,1700,NA,NA,NA,NA,Burgener et al. (2016),NA,,,,,,,,,,,,,,,,,,
